nrbits,toffoli_desc_conf,nr_qubits_output,depth_input,depth_output,process_time
5,131410412141271114,24,46,241,7.392356999999947
5,14754141051498,31,46,203,9.362818999999945
5,25312141196106,25,46,270,10.91577600000005
5,1328413721194,29,46,277,12.032646999999997
5,1014114674784,22,46,277,11.282435000000078
5,812914512141245,21,46,246,9.249105999999983
5,57641393267,19,46,278,12.497910000000047
5,134119103121487,22,46,233,8.181308999999828
5,714525912101014,22,46,215,8.0867760000001
5,5101311321431312,25,46,212,7.515491000000111
5,5144111221112103,16,46,202,7.113963999999896
5,1171431011134115,19,46,253,10.269268000000011
5,11211283461113,21,46,305,15.14890000000014
5,11211456135410,22,46,246,11.590966000000208
5,513979694514,24,46,242,9.441485000000057
5,62621271210123,18,46,259,10.06911100000002
5,895442531010,21,46,211,7.215521000000081
6,136131131312115626,29,55,329,20.449802999999974
6,314213562511563,29,55,344,22.224508999999898
6,13371291381186310,26,55,332,15.925645999999915
6,58139114710141275,23,55,290,15.80538700000011
6,109105211529698,28,55,277,13.940997000000152
6,1312111413731376133,25,55,323,14.582321999999976
6,1312932991414989,23,55,225,8.146091999999953
6,28410117131334614,27,55,332,17.37911199999985
6,653886211891311,31,55,329,23.801208000000088
6,852131137991296,24,55,291,16.349889000000076
6,639489125129148,30,55,324,17.524527000000035
6,95116126911109127,32,55,332,20.779532000000017
6,101398446132989,27,55,270,11.246141999999963
6,4144115131013611611,37,55,354,22.42793000000006
6,2139578414210114,22,55,290,13.718375000000151
6,146413111013271496,31,55,325,16.095391999999947
6,113713613141331086,22,55,290,15.354579000000058
6,2481038976272,27,55,331,18.562905
6,839371210414727,26,55,316,15.381812000000082
6,88111010475111032,24,55,303,18.043261999999913
6,9103576121291257,28,55,350,18.655407000000196
6,623728911123148,24,55,348,19.76420599999983
6,513136413361351210,24,55,320,16.77199500000006
6,1331334810212141311,19,55,295,10.495062999999845
6,1213113109134128149,24,55,288,10.114570000000185
6,236111110811811106,28,55,313,20.202315
6,76581081421431310,27,55,292,15.036560000000009
